arm,val_season,target,mae,rmse,over_under_log_loss,over_under_brier
A_8_season_baseline,2021-2022,total_corners,2.7721641904429384,3.46274379203078,0.6935956694473682,0.24994814573438595
A_8_season_baseline,2022-2023,total_corners,2.7183740791521576,3.344383160919526,0.7196626520706669,0.26115327342842803
A_8_season_baseline,2023-2024,total_corners,2.887372290460687,3.646037667303111,0.6866922840638333,0.2463372468960439
A_8_season_baseline,2024-2025,total_corners,2.733295003991378,3.4468464925985636,0.6749521373014289,0.24072868393876698
A_8_season_baseline,2025-2026,total_corners,2.698566208387676,3.3432618654246946,0.6980126403203372,0.2520604182711088
B_12_season_window,2021-2022,total_corners,2.7700580170280054,3.4547139331523224,0.692144772758795,0.24902372076551602
B_12_season_window,2022-2023,total_corners,2.663744656663192,3.2924035469624227,0.7050717295350503,0.255605221031242
B_12_season_window,2023-2024,total_corners,2.892886467983848,3.6641028541224268,0.6891079026627818,0.24703671406229247
B_12_season_window,2024-2025,total_corners,2.7289265908693014,3.423265332293645,0.669574261577419,0.2382483085808764
B_12_season_window,2025-2026,total_corners,2.6556160525271766,3.316230431285267,0.6848270692798288,0.2456223208972579
C_12_season_plus_dominance,2021-2022,total_corners,2.7786896253886977,3.4570099162564407,0.6921265834111083,0.24916190202002675
C_12_season_plus_dominance,2022-2023,total_corners,2.6615881832022414,3.2798031037751247,0.7001096282092821,0.2532560535361146
C_12_season_plus_dominance,2023-2024,total_corners,2.896576344339471,3.6459385159792372,0.6889438824099883,0.24715656715546236
C_12_season_plus_dominance,2024-2025,total_corners,2.7691696141895497,3.462810814921689,0.6769871671344255,0.24165232904564293
C_12_season_plus_dominance,2025-2026,total_corners,2.6704649875038546,3.3116414751319128,0.6853217615156959,0.24588118369482487
