arm,val_season,target,mae,rmse,over_under_log_loss,over_under_brier
A_8_season_baseline,2021-2022,total_cards,1.607223717789901,1.9967146730378371,0.6955484776103361,0.2508129723547531
A_8_season_baseline,2022-2023,total_cards,1.5468204652008257,1.9717500687510676,0.7056131930542451,0.25488305302859415
A_8_season_baseline,2023-2024,total_cards,1.790703154865064,2.3180586106449725,0.7140287122606324,0.2582417736506414
A_8_season_baseline,2024-2025,total_cards,1.7563268385435407,2.234845499262111,0.6780817050660575,0.24221191259786473
A_8_season_baseline,2025-2026,total_cards,1.6286687970161438,2.020584596908308,0.6850288348439048,0.24580739691486925
B_12_season_window,2021-2022,total_cards,1.6189068104091444,1.9852429816863673,0.6948569323540704,0.2504762699805919
B_12_season_window,2022-2023,total_cards,1.5338763462869744,1.9456730724048699,0.6960033990332056,0.25044839276983777
B_12_season_window,2023-2024,total_cards,1.7782956838607789,2.304440461733722,0.7031944230226678,0.2536187617772328
B_12_season_window,2024-2025,total_cards,1.771908079950433,2.2470211809470273,0.681519463222188,0.24418741378463352
B_12_season_window,2025-2026,total_cards,1.628007195497814,2.006719152553388,0.6828738661219557,0.24486105750604026
C_12_season_plus_dominance,2021-2022,total_cards,1.6087307672751576,1.9858831062303715,0.6923782049066073,0.2493456450698911
C_12_season_plus_dominance,2022-2023,total_cards,1.5256270731750288,1.9440753379490834,0.6934593359580467,0.24957576612836863
C_12_season_plus_dominance,2023-2024,total_cards,1.7571974691591765,2.2764453321586045,0.6949082041954202,0.24980356197538647
C_12_season_plus_dominance,2024-2025,total_cards,1.7580492985875984,2.2358178710508554,0.6782407442376143,0.2423174273592876
C_12_season_plus_dominance,2025-2026,total_cards,1.625609803199768,1.9998199581651317,0.6847291881775815,0.24581039892144121
