arm,val_season,n_train,rps,rps_ci_low,rps_ci_high,brier_1x2,log_loss_1x2,ece_1x2,exact_scoreline_log_loss,over_2_5_log_loss,over_2_5_brier,btts_log_loss,btts_brier
A_8_season_baseline,2021-2022,1140,0.20023144194391337,0.18693837073663075,0.2126287619024063,0.5768256224636196,0.9707171632251291,0.03544877137115114,2.949883712194121,0.7008732912281824,0.25362066932254357,0.693156747179119,0.2499995759458528
A_8_season_baseline,2022-2023,1520,0.20143575029959396,0.18766194132153155,0.21560216210175237,0.5794425380588595,0.9733637249642639,0.06633952022022359,3.0058446745332796,0.6824852297026744,0.2448510025718589,0.7000592937699657,0.25342946070145683
A_8_season_baseline,2023-2024,1900,0.1916038634540094,0.17898945675118105,0.20455056108541733,0.5507094462519115,0.9366064810297408,0.05003280238077931,3.081801518542649,0.6662021740986028,0.23674274083455632,0.6680702062574176,0.23760251168712068
A_8_season_baseline,2024-2025,2280,0.19886499746164538,0.18644980721240273,0.21187803539010772,0.5827646610367919,0.9785871990083205,0.043851563659221084,2.941873010237833,0.6738143492248317,0.24054505252106664,0.6778544247606594,0.24245028260870258
A_8_season_baseline,2025-2026,2660,0.2073181494415363,0.19458119702497928,0.21972600315436058,0.6150976559598798,1.023639424666793,0.026056369672924774,2.8857886019026195,0.6910733938985385,0.24897099899897449,0.6883012760819643,0.24758756376565516
B_12_season_window,2021-2022,2660,0.19847429806266415,0.18572127491380877,0.21183592062919335,0.5726395080328218,0.9657960890540398,0.036061148342506635,2.936818584226433,0.6904201278785868,0.2485944752650908,0.6942725328454874,0.25054198053742227
B_12_season_window,2022-2023,3040,0.20090240815294086,0.1876621041150694,0.21536496726849788,0.578147686602933,0.9715166679113378,0.031079968948690855,2.9972738477251766,0.6761738394649929,0.24167115211330661,0.6956245956048687,0.25122800615672725
B_12_season_window,2023-2024,3420,0.18940995155789636,0.1759265163430173,0.20153962004589046,0.5456970937450629,0.9289174675987654,0.035067914799335895,3.083536360819027,0.6661571086806346,0.23681099141599268,0.6755812810691328,0.2413016007270638
B_12_season_window,2024-2025,3800,0.19893527468945274,0.18638735997000047,0.2125245772123147,0.5822468601145959,0.9773194486103958,0.040050721956218255,2.9512406630940538,0.6756839229511088,0.24138908146291144,0.6826202374504697,0.2448018636137459
B_12_season_window,2025-2026,4180,0.20935421557072006,0.19656412154098818,0.22155087779153812,0.6196310508422412,1.0304035310129274,0.037198378549945524,2.8851146677758157,0.6885234194526869,0.24768605506823993,0.6838810211773947,0.24538238816800417
C_12_season_plus_dominance,2021-2022,2660,0.19723709809780346,0.1844631808770289,0.21026183935239323,0.5698161149016803,0.9616626004453916,0.05730888692332754,2.933720074245006,0.6924693088506519,0.24960803367835177,0.6950513865548331,0.25092416588453126
C_12_season_plus_dominance,2022-2023,3040,0.20100418416236399,0.18784239942460146,0.21532041057217846,0.5781837777705113,0.9718970609213622,0.02108987876566355,2.996381541644017,0.6750162931739491,0.2410884499190341,0.6933328621177711,0.2500943720883449
C_12_season_plus_dominance,2023-2024,3420,0.19014502248739001,0.1767096034528692,0.20234484053390278,0.54714339157256,0.9311096760757369,0.058157659847619794,3.0889856365971475,0.6679354040259775,0.23774596125961597,0.6767182033103969,0.2418695226025782
C_12_season_plus_dominance,2024-2025,3800,0.2003193456546163,0.18783583702105477,0.21336969215896867,0.5855126114797143,0.9816258060089934,0.05265647630118188,2.955342600455303,0.6750852851398809,0.2411418468308746,0.6837071537610185,0.24532559372995189
C_12_season_plus_dominance,2025-2026,4180,0.2094251884660829,0.19673655159648643,0.22133618934625535,0.6196929764203718,1.0309419808604579,0.03592088185052646,2.887239387382823,0.6903800304281339,0.24860539470910728,0.6871388709594642,0.24700781596688332
