spec,val_season,rps,rps_ci_low,rps_ci_high,brier_1x2,log_loss_1x2,ece_1x2,exact_scoreline_log_loss,over_2_5_log_loss,over_2_5_brier,btts_log_loss,btts_brier
team_effects_only,2021-2022,0.23183747483708692,0.2264140864718644,0.23728710075719675,0.6422116137038385,1.062233472485995,0.13515328217578676,3.0982176178980665,0.6899316983577104,0.24839278802931292,0.6980141875291764,0.2524215090727249
team_effects_plus_elo_pi,2021-2022,0.19613339548595696,0.18213116613421657,0.20845831780812815,0.5672207625016489,0.9560266074331314,0.0297683712625084,2.9200606387271395,0.6869062313461906,0.24695824705800848,0.6868287482256441,0.24684705058028483
team_effects_only,2022-2023,0.23220757118131943,0.22668033455008535,0.23753559255673223,0.6414953080716278,1.0610549145122665,0.12134383572286189,3.1246671684510936,0.6906880244654889,0.24877229034146214,0.6965908553377482,0.25170475631092754
team_effects_plus_elo_pi,2022-2023,0.21073099893844344,0.19593655357416587,0.2255660197651669,0.5985885777487254,1.0043625388537685,0.038793311672292795,3.0346424913171974,0.679132857842614,0.24329514136660801,0.6967529975861919,0.25178123152043774
team_effects_only,2023-2024,0.23258216536070947,0.227659448334817,0.2374723294342163,0.6356282257051248,1.0523290003138779,0.12385012885237293,3.245865304732541,0.6750174070248423,0.24094938405287744,0.6704856592528754,0.23872731405127798
team_effects_plus_elo_pi,2023-2024,0.19349918156651513,0.18131022504460098,0.20648386367626428,0.5534890785097623,0.9373022970357564,0.03849946689095034,3.1055824652081756,0.672150573066487,0.2396066817899732,0.6817202593181338,0.24429426122555947
team_effects_only,2024-2025,0.23115070766233145,0.22547897535315622,0.23610791438481055,0.6470424578116385,1.0696045037610324,0.06585947263789778,3.060372731782198,0.6846155385901338,0.24574669965195933,0.6851051727290314,0.2459421702492662
team_effects_plus_elo_pi,2024-2025,0.20232087846665586,0.1896582643009187,0.2159865698657981,0.5894838471837148,0.9869902771513821,0.05395443523596753,2.9652846724700828,0.6848342277405348,0.2456508261880618,0.6829385594909013,0.24491893875373458
team_effects_only,2025-2026,0.22755307192415056,0.2220370363997885,0.23341826036648297,0.6547719723901103,1.0822540966234973,0.07103998704856719,2.9511504436659584,0.6885484930451347,0.2477024745264099,0.6888742075227304,0.247826237130732
team_effects_plus_elo_pi,2025-2026,0.21054555160501706,0.19839604815368317,0.22184619300069525,0.6219748054237523,1.0334553633394896,0.049596706981840016,2.8965488966672597,0.6900396741483205,0.24835063454852394,0.684572819166583,0.24572487862840597
