model,segment,val_season,n_fixtures,rps,rps_ci_low,rps_ci_high,brier_1x2,log_loss_1x2,ece_1x2,exact_scoreline_log_loss,over_2_5_log_loss,over_2_5_brier,btts_log_loss,btts_brier
dixon_coles,overall,2021-2022,380,0.19883513181592916,0.1864495107328003,0.21116421059043708,0.573198369391747,0.9633033999933394,0.048649680690094094,2.9162356591872483,0.6738201823373686,0.2403976263779398,0.6783327094026921,0.24271427647513466
dixon_coles,cold_start_involved,2021-2022,10,0.2279372233724067,0.18921018945844686,0.2537552459817134,0.6676233402344405,1.1004865128861343,0.17090988695346693,2.7945352943196635,0.6957787398379155,0.25131570722867463,0.6979181047862641,0.2523741173661319
dixon_coles,established_only,2021-2022,370,0.19804858880088919,0.18676606998059295,0.21055253428453766,0.5706463431527554,0.959595748293534,0.05458372305883901,2.919524858237724,0.6732267078103268,0.24010254311170373,0.6778033743923253,0.2424531996942969
bivariate_poisson,overall,2021-2022,380,0.198766423133957,0.18626759925291897,0.21118289575701943,0.5730315360950491,0.9630333041245296,0.05539591105551845,2.9204076758153406,0.6739657650587075,0.2404698262706223,0.6787092633198484,0.2428935540863957
bivariate_poisson,cold_start_involved,2021-2022,10,0.2279372233724067,0.18921018945844686,0.2537552459817134,0.6676233402344405,1.1004865128861343,0.17090988695346693,2.7945352943196635,0.6957787398379155,0.25131570722867463,0.6979181047862641,0.2523741173661319
bivariate_poisson,established_only,2021-2022,370,0.19797802312751242,0.18666145296193823,0.21060461670958067,0.5704750008480386,0.9593183525363781,0.06151228397468021,2.9238096320719804,0.6733762251998101,0.2401766943528371,0.6781901054423776,0.24263732264640284
ml_scoreline,overall,2021-2022,380,0.20023144194391337,0.18693837073663075,0.2126287619024063,0.5768256224636196,0.9707171632251291,0.03544877137115114,2.949883712194121,0.7008732912281824,0.25362066932254357,0.693156747179119,0.2499995759458528
ml_scoreline,cold_start_involved,2021-2022,10,0.25465087781926415,0.18261109615340052,0.3369601320017891,0.720346064046252,1.1702583194504392,0.3610622543316934,2.9419551656638374,0.6974946117656893,0.25216745363019355,0.7120082594114161,0.2594025851324357
ml_scoreline,established_only,2021-2022,370,0.1987606463797147,0.18675131739824083,0.21170485779028447,0.572946691610035,0.9653241590028234,0.04419830677853059,2.95009799723548,0.700964606889331,0.25365994542233683,0.6926472468485163,0.24974544056243167
dixon_coles,overall,2022-2023,380,0.22260771657884743,0.2080641292794449,0.23750931520661256,0.62117657485021,1.0369478412732644,0.059146001636901015,3.105662439406062,0.6967171031127817,0.25185652755872495,0.7043755566154309,0.2554412167500284
dixon_coles,cold_start_involved,2022-2023,10,0.24084623467706007,0.20211920076310017,0.2666642572863667,0.6450774080623602,1.0642563879862668,0.12909011304653306,3.411027096162459,0.6957787398379154,0.2513157072286746,0.7174701201103468,0.26211910041615705
dixon_coles,established_only,2022-2023,370,0.22211478365727405,0.2080874608982794,0.23583066933885238,0.6205306063850167,1.0362097724431836,0.05725562024745148,3.097409340574808,0.6967424642823725,0.251871144324402,0.7040216494939467,0.2552607334077006
bivariate_poisson,overall,2022-2023,380,0.22290620541148431,0.2081985690970448,0.23796703695625526,0.6218332402030988,1.0383013613174246,0.05781927021784664,3.1070187958872983,0.6963104349334832,0.2516595473998569,0.7039949666722137,0.2552616507009727
bivariate_poisson,cold_start_involved,2022-2023,10,0.24084623467706007,0.20211920076310017,0.2666642572863667,0.6450774080623602,1.0642563879862668,0.12909011304653306,3.411027096162459,0.6957787398379154,0.2513157072286746,0.7174701201103468,0.26211910041615705
bivariate_poisson,established_only,2022-2023,370,0.22242133975565795,0.20821508738747724,0.23625738248359165,0.6212050194501461,1.0375998741101589,0.05589303122247673,3.098802355339322,0.6963248050712011,0.25166884037745646,0.7036307733360478,0.25507631422218396
ml_scoreline,overall,2022-2023,380,0.20143575029959396,0.18766194132153155,0.21560216210175237,0.5794425380588595,0.9733637249642639,0.06633952022022359,3.0058446745332796,0.6824852297026744,0.2448510025718589,0.7000592937699657,0.25342946070145683
